                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-macos-20.4.1"                                 "CRMATH"                               "20200729"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      570                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7554748409067355E-005                  8.8348695648547193E-001                  1.0600526229711248E-001                  9.3844131242627693E-002                  2.4035264923349196E-004                  8.8348695648547193E-001                  1.0600526229711248E-001                  9.3844131242627693E-002                  2.4035264923349196E-004                 -2.0882903695460019E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882903695460019E+001                 -2.0882903695460019E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6374682202335746E+000                  2.4384644016722477E+000                  1.4675545968216004E+000                  1.5027801597699242E+000                 -3.2288090293009197E-001                  5.4770680124017277E+000                 -3.2889436236907028E+000                  1.0311644045825016E+001                 -3.2889436236907028E+000                  5.4770680124017277E+000                  6.2132022128665165E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059836E-003                  9.3393757928402401E-003                  7.0000000000000040E-001                  2.7997020236474895E-001                                        0                                        0                                        3 
                                       5                                      569                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7548757898453873E-005                  8.8348695648547171E-001                  1.0600526337559202E-001                  9.3844131242627471E-002                  2.4035280565565755E-004                  8.8348695648547171E-001                  1.0600526337559202E-001                  9.3844131242627471E-002                  2.4035280565565755E-004                 -2.0882904542447211E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882904542447211E+001                 -2.0882904542447211E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6356190521879870E+000                  2.4308847344529201E+000                  1.4674630993031117E+000                  1.5029631548069016E+000                 -3.0633220402733397E-001                  5.4770680350725307E+000                 -3.2889435302555396E+000                  1.0311644161844605E+001                 -3.2889435302555396E+000                  5.4770680350725307E+000                  6.2132022127927611E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059836E-003                  9.3393757928402401E-003                  7.0000000000000040E-001                  2.7997020236474895E-001                                        0                                        0                                        3 
                                      10                                      570                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7528218851917499E-005                  8.8348695648547171E-001                  2.4035318838995878E-004                  9.9999768598984029E-001                  9.5740301748231160E-001                  8.8348695648547171E-001                  2.4035318838995878E-004                  9.9999768598984029E-001                  9.5740301748231160E-001                 -2.0882906377210308E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882906377210308E+001                 -2.0882906377210308E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6310762775571077E+000                  2.4122408122067314E+000                  1.4672266874417765E+000                  1.5034359785295719E+000                 -2.6743613047331588E-001                  5.4770680998228167E+000                 -3.2889433138298947E+000                  1.0311644443006029E+001                 -3.2889433138298947E+000                  5.4770680998228167E+000                  6.2132022122227293E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059836E-003                  9.3393757928402418E-003                  7.0000000000000029E-001                  2.7997020236474895E-001                                        0                                        0                                        3 
                                      15                                      571                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7453041685155822E-005                  8.8348695648547149E-001                  2.4035204097106643E-004                  9.9999758296117502E-001                  9.4690595501070085E-001                  8.8348695648547149E-001                  2.4035204097106643E-004                  9.9999758296117502E-001                  9.4690595501070085E-001                 -2.0882908955259531E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882908955259531E+001                 -2.0882908955259531E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6229410986789050E+000                  2.3787650426716351E+000                  1.4667591604306343E+000                  1.5043710325518567E+000                 -2.0288849548034135E-001                  5.4770682605617012E+000                 -3.2889429283992841E+000                  1.0311644989838545E+001                 -3.2889429283992841E+000                  5.4770682605617012E+000                  6.2132022097257689E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059823E-003                  9.3393757928402401E-003                  7.0000000000000040E-001                  2.7997020236474895E-001                                        0                                        0                                        5 
                                      20                                      567                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7076627945961471E-005                  8.8348695648547126E-001                  2.4035192876078630E-004                  9.9999735974497406E-001                  9.4690595426027357E-001                  8.8348695648547126E-001                  2.4035192876078630E-004                  9.9999735974497406E-001                  9.4690595426027357E-001                 -2.0882910875882132E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882910875882132E+001                 -2.0882910875882132E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6115946343798582E+000                  2.3318355608360237E+000                  1.4659873481109218E+000                  1.5059146571912818E+000                 -1.2684175267018893E-001                  5.4770685716013636E+000                 -3.2889423513608755E+000                  1.0311645879976698E+001                 -3.2889423513608755E+000                  5.4770685716013636E+000                  6.2132022036912893E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059823E-003                  9.3393757928402418E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        0                                        3 
                                      25                                      566                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.4403711274308562E-005                  8.8348695648547171E-001                  2.4035227413368918E-004                  9.9999723193844425E-001                  9.4533934658678886E-001                  8.8348695648547171E-001                  2.4035227413368918E-004                  9.9999723193844425E-001                  9.4533934658678886E-001                 -2.0882908879579201E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882908879579201E+001                 -2.0882908879579201E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6000342643556293E+000                  2.2835303007733332E+000                  1.4649554581280342E+000                  1.5079784371570566E+000                 -6.3578207791383526E-002                  5.4770690333767460E+000                 -3.2889416032091656E+000                  1.0311647093461890E+001                 -3.2889416032091656E+000                  5.4770690333767460E+000                  6.2132021939591486E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059823E-003                  9.3393757928402401E-003                  7.0000000000000040E-001                  2.7997020236474890E-001                                        0                                        0                                        7 
                                      30                                      566                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  4.2605346601280055E-005                  8.8348695648547171E-001                  2.4035470285824632E-004                  9.9999723193844425E-001                  9.3685307188642841E-001                  8.8348695648547171E-001                  2.4035470285824632E-004                  9.9999723193844425E-001                  9.3685307188642841E-001                 -2.0882899144769961E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882899144769961E+001                 -2.0882899144769961E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5913248904138504E+000                  2.2465078696822709E+000                  1.4638629904660609E+000                  1.5101633724810033E+000                 -2.4824551805928158E-002                  5.4770697373017727E+000                 -3.2889405205338123E+000                  1.0311648885752284E+001                 -3.2889405205338123E+000                  5.4770697373017727E+000                  6.2132021787119718E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059823E-003                  9.3393757928402418E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        0                                        3 
                                      35                                      560                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.8792718505584603E-005                  8.8659416782210043E-001                  2.4037717744146872E-004                  9.9999745418163011E-001                  9.3313480480580646E-001                  8.8659416782210043E-001                  2.4037717744146872E-004                  9.9999745418163011E-001                  9.3313480480580646E-001                 -2.0882872982624320E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882872982624320E+001                 -2.0882872982624320E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5863220036539141E+000                  2.2246703910349130E+000                  1.4629500246622544E+000                  1.5119893040886163E+000                 -7.6513098761311609E-003                  5.4770712023013548E+000                 -3.2889382924667387E+000                  1.0311652590776827E+001                 -3.2889382924667387E+000                  5.4770712023013548E+000                  6.2132021468012222E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059819E-003                  9.3393757928402401E-003                  7.0000000000000040E-001                  2.7997020236474890E-001                                        0                                        0                                        4 
                                      40                                      562                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.8671968902362248E-005                  8.9829523822792490E-001                  5.3834028436830529E-002                  9.9999795012592496E-001                  9.2718386363042993E-001                  8.9829523822792490E-001                  5.3834028436830529E-002                  9.9999795012592496E-001                  9.2718386363042993E-001                 -2.0882796486443542E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882796486443542E+001                 -2.0882796486443542E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5841965350666380E+000                  2.2149401585945938E+000                  1.4623358456166473E+000                  1.5132176621798306E+000                 -1.8901193123774405E-003                  5.4770753396729344E+000                 -3.2889320070320096E+000                  1.0311663047385728E+001                 -3.2889320070320096E+000                  5.4770753396729344E+000                  6.2132020566378232E-001                  8.4999665454416673E-001                  1.2966454153355984E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059819E-003                  9.3393757928402418E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        0                                        5 
