                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-macos-20.4.1"                                 "CRMATH"                               "20200729"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      551                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.4683016144576874E-005                  9.0086436929850877E-001                  1.3754284276260192E-001                  9.9999685356144918E-001                  9.4478833019345942E-001                  9.0086436929850877E-001                  1.3754284276260192E-001                  9.9999685356144918E-001                  9.4478833019345942E-001                 -2.1028017155882651E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1028017155882651E+001                 -2.1028017155882651E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466966993140821E+000                  2.7577343190096704E+000                  1.6087325973292983E+000                  1.3665521944327665E+000                 -4.4433859164629280E-001                  5.4770574599862938E+000                 -3.5777770966456059E+000                  1.0024107785666368E+001                 -3.5777770966456059E+000                  5.4770574599862938E+000                  6.2120751083832171E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059858E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        5 
                                       5                                      550                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.4669719364420284E-005                  9.0086436929850877E-001                  1.3754284424322488E-001                  9.9999685356144918E-001                  9.4478833024505793E-001                  9.0086436929850877E-001                  1.3754284424322488E-001                  9.9999685356144918E-001                  9.4478833024505793E-001                 -2.1028018142827008E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1028018142827008E+001                 -2.1028018142827008E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6447230920721787E+000                  2.7496554334385239E+000                  1.6086403690275310E+000                  1.3667366510363010E+000                 -4.2327763578254463E-001                  5.4770574763607982E+000                 -3.5777769588184380E+000                  1.0024107939476266E+001                 -3.5777769588184380E+000                  5.4770574763607982E+000                  6.2120751078553593E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059858E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        5 
                                      10                                      553                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.4624178121580251E-005                  9.0086436929850899E-001                  1.3754284801359776E-001                  9.9999670493274184E-001                  9.4478833038610377E-001                  9.0086436929850899E-001                  1.3754284801359776E-001                  9.9999670493274184E-001                  9.4478833038610377E-001                 -2.1028020490252754E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1028020490252754E+001                 -2.1028020490252754E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6398520461335075E+000                  2.7296920165470078E+000                  1.6084007524591148E+000                  1.3672158841731332E+000                 -3.7176521040919880E-001                  5.4770575467529348E+000                 -3.5777766249974903E+000                  1.0024108343199943E+001                 -3.5777766249974903E+000                  5.4770575467529348E+000                  6.2120751059825341E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059858E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        5 
                                      15                                      548                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.4457854552113392E-005                  9.0086436929850877E-001                  1.3754285470600980E-001                  9.9999649596053675E-001                  9.4478833069097956E-001                  9.0086436929850877E-001                  1.3754285470600980E-001                  9.9999649596053675E-001                  9.4478833069097956E-001                 -2.1028024268084568E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1028024268084568E+001                 -2.1028024268084568E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6309935774161235E+000                  2.6932965773464503E+000                  1.6079199702936051E+000                  1.3681774485041531E+000                 -2.8819308534684307E-001                  5.4770577569377421E+000                 -3.5777760328629382E+000                  1.0024109145926806E+001                 -3.5777760328629382E+000                  5.4770577569377421E+000                  6.2120751010104081E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059854E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        5 
                                      20                                      553                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.3628330805143958E-005                  9.0086436929850922E-001                  1.3754286490207612E-001                  8.2084937523405177E-002                  2.4453606178222256E-002                  9.0086436929850922E-001                  1.3754286490207612E-001                  8.2084937523405177E-002                  2.4453606178222256E-002                 -2.1028027918137930E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1028027918137930E+001                 -2.1028027918137930E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6184602240874368E+000                  2.6415509429595105E+000                  1.6071138597575081E+000                  1.3697896695763470E+000                 -1.8214282865632214E-001                  5.4770581768007318E+000                 -3.5777751915484308E+000                  1.0024110409495734E+001                 -3.5777751915484308E+000                  5.4770581768007318E+000                  6.2120750916013878E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059854E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        5 
                                      25                                      548                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  8.7805217452539526E-005                  9.0086436929850899E-001                  1.3754288837329745E-001                  8.7997696657619917E-002                  2.4453627483621128E-002                  9.0086436929850899E-001                  1.3754288837329745E-001                  8.7997696657619917E-002                  2.4453627483621128E-002                 -2.1028027123908863E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1028027123908863E+001                 -2.1028027123908863E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6053251170112826E+000                  2.5868112166693775E+000                  1.6060142107647495E+000                  1.3719889675618642E+000                 -9.3994902768379837E-002                  5.4770587883833732E+000                 -3.5777741700963013E+000                  1.0024112046956251E+001                 -3.5777741700963013E+000                  5.4770587883833732E+000                  6.2120750782084588E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059854E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        4 
                                      30                                      550                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  5.4379631236272145E-005                  9.0086436929850922E-001                  2.4453705104839130E-002                  9.9999563096678601E-001                  9.4478832966903747E-001                  9.0086436929850922E-001                  2.4453705104839130E-002                  9.9999563096678601E-001                  9.4478832966903747E-001                 -2.1028016264923391E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1028016264923391E+001                 -2.1028016264923391E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5951134770520081E+000                  2.5435281732946988E+000                  1.6047959689959599E+000                  1.3744254510994434E+000                 -3.8865023838965777E-002                  5.4770597041653799E+000                 -3.5777727502321817E+000                  1.0024114389735907E+001                 -3.5777727502321817E+000                  5.4770597041653799E+000                  6.2120750583216156E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059854E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        4 
                                      35                                      545                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  5.4365227967008896E-005                  9.0809339290841029E-001                  2.4454011883004341E-002                  9.9999563096678579E-001                  9.3623803155827079E-001                  9.0809339290841029E-001                  2.4454011883004341E-002                  9.9999563096678579E-001                  9.3623803155827079E-001                 -2.1027984113578949E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1027984113578949E+001                 -2.1027984113578949E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5890936615027949E+000                  2.5172750224235347E+000                  1.6037090246588033E+000                  1.3765993397737568E+000                 -1.2913892399731121E-002                  5.4770615846238506E+000                 -3.5777698816893415E+000                  1.0024119153602085E+001                 -3.5777698816893415E+000                  5.4770615846238506E+000                  6.2120750175567852E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059854E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        4 
                                      40                                      548                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  5.3562300738603447E-005                  9.1776110626343566E-001                  2.4455334728790190E-002                  9.9999563096678601E-001                  9.3054659910222903E-001                  9.1776110626343566E-001                  2.4455334728790190E-002                  9.9999563096678601E-001                  9.3054659910222903E-001                 -2.1027884793028001E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1027884793028001E+001                 -2.1027884793028001E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5863724072272021E+000                  2.5048024199009795E+000                  1.6029152319487119E+000                  1.3781869251939396E+000                 -3.4859953180593059E-003                  5.4770669743926739E+000                 -3.5777616734986233E+000                  1.0024132794229423E+001                 -3.5777616734986233E+000                  5.4770669743926739E+000                  6.2120749007271314E-001                  8.4999665454416673E-001                  1.2966454153355982E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3393757928402401E-003                  3.4416073257059854E-003                  9.3393757928402401E-003                  9.8000000000000054E-001                  3.9195828331064841E-001                                        0                                        0                                        4 
